programme,overall_1to5,pace_1to5,venue_1to5,comment
Effective Minutes,5,5,5,Very practical
Intro to AI Tools,4,3,4,Too fast in the afternoon
Intro to AI Tools,3,3,5,Pace too quick for beginners
Intro to AI Tools,5,4,4,Room comfortable
Data Literacy Basics,4,3,3,Second half rushed
Effective Minutes,5,5,5,Would recommend
Intro to AI Tools,5,5,5,Very practical
Effective Minutes,3,2,3,"Too fast, need more practice time"
Intro to AI Tools,3,2,5,Slides moved too quickly
Intro to AI Tools,5,3,4,Would recommend
Data Literacy Basics,2,2,5,Liked the pair work
Intro to AI Tools,5,3,5,Would recommend
Data Literacy Basics,4,3,5,Liked the pair work
Effective Minutes,3,3,5,Room comfortable
Data Literacy Basics,3,3,3,Would recommend
Intro to AI Tools,5,4,4,Very practical
Effective Minutes,3,3,5,Good examples
Effective Minutes,4,3,3,Liked the pair work
Effective Minutes,4,3,5,Trainer was clear
Intro to AI Tools,5,4,4,Good pacing overall
Intro to AI Tools,3,3,4,Very practical
Intro to AI Tools,4,3,5,Good examples
Effective Minutes,3,3,3,Liked the pair work
Effective Minutes,4,3,3,Good examples
Data Literacy Basics,3,2,4,Trainer was clear
Intro to AI Tools,4,3,4,Trainer was clear
Intro to AI Tools,5,4,3,Very practical
Data Literacy Basics,2,2,5,Very practical
Intro to AI Tools,4,4,3,Good examples
Effective Minutes,4,3,5,Good examples
